Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
2,GBPUSD,Sell,06.07.2021 14:15:00,1.38519,0.1,06.07.2021 17:17:40,1.38276,3h 2m,23.8,23.8,-0.5,23.8,23.8,24.3,24.3,0.24,0.24,tp 1.38276,IS
4,GBPUSD,Sell,12.07.2021 17:15:00,1.38851,0.1,12.07.2021 22:42:40,1.38861,5h 27m,-1.5,22.3,-0.5,-1.5,22.3,-1,23.3,-0.01,0.22,sl 1.38861,IS
6,GBPUSD,Sell,13.07.2021 09:45:00,1.38876,0.1,13.07.2021 10:06:40,1.3871,21m 40s,16.1,38.4,-0.5,16.1,38.4,16.6,39.9,0.16,0.38,tp 1.38710,IS
8,GBPUSD,Sell,15.07.2021 10:45:00,1.38233,0.1,15.07.2021 11:15:40,1.38364,30m 40s,-13.6,24.8,-0.5,-13.6,24.8,-13.1,26.8,-0.14,0.25,sl 1.38364,IS
10,GBPUSD,Sell,23.07.2021 15:30:00,1.37635,0.1,23.07.2021 18:04:40,1.37653,2h 34m,-2.3,22.5,-0.5,-2.3,22.5,-1.8,25,-0.02,0.23,sl 1.37653,IS
12,GBPUSD,Sell,26.07.2021 08:15:00,1.37541,0.1,26.07.2021 09:59:40,1.37557,1h 44m,-2.1,20.4,-0.5,-2.1,20.4,-1.6,23.4,-0.02,0.2,sl 1.37557,IS
14,GBPUSD,Sell,27.07.2021 16:00:00,1.38236,0.1,27.07.2021 17:04:40,1.38265,1h 4m,-3.4,17,-0.5,-3.4,17,-2.9,20.5,-0.03,0.17,sl 1.38265,IS
16,GBPUSD,Sell,28.07.2021 09:00:00,1.38745,0.1,28.07.2021 11:52:40,1.38818,2h 52m,-7.8,9.2,-0.5,-7.8,9.2,-7.3,13.2,-0.08,0.09,sl 1.38818,IS
18,GBPUSD,Sell,30.07.2021 09:15:00,1.39427,0.1,30.07.2021 17:28:20,1.39279,8h 13m,14.3,23.5,-0.5,14.3,23.5,14.8,28,0.14,0.24,tp 1.39279,IS
20,GBPUSD,Sell,03.08.2021 17:15:00,1.38964,0.1,03.08.2021 23:45:00,1.3913,6h 30m,-17.1,6.4,-0.5,-17.1,6.4,-16.6,11.4,-0.17,0.06,Strategy 6.11.100,IS
22,GBPUSD,Sell,06.08.2021 10:30:00,1.39279,0.1,06.08.2021 11:44:40,1.39311,1h 14m,-3.7,2.7,-0.5,-3.7,2.7,-3.2,8.2,-0.04,0.03,sl 1.39311,IS
24,GBPUSD,Sell,12.08.2021 10:45:00,1.38694,0.1,12.08.2021 11:39:40,1.38762,54m 40s,-7.3,-4.6,-0.5,-7.3,-4.6,-6.8,1.4,-0.07,-0.05,sl 1.38762,IS
26,GBPUSD,Sell,16.08.2021 09:30:00,1.38536,0.1,16.08.2021 10:16:40,1.38573,46m 40s,-4.2,-8.8,-0.5,-4.2,-8.8,-3.7,-2.3,-0.04,-0.09,sl 1.38573,IS
28,GBPUSD,Sell,24.08.2021 12:15:30,1.3712,0.1,24.08.2021 13:12:40,1.37233,57m 10s,-11.8,-20.6,-0.5,-11.8,-20.6,-11.3,-13.6,-0.12,-0.21,sl 1.37233,IS
30,GBPUSD,Sell,25.08.2021 10:15:00,1.37161,0.1,25.08.2021 16:58:40,1.37161,6h 43m,-0.5,-21.1,-0.5,-0.5,-21.1,0,-13.6,-0.01,-0.21,sl 1.37161,IS
32,GBPUSD,Sell,26.08.2021 10:45:00,1.37497,0.1,26.08.2021 12:58:20,1.37502,2h 13m,-1,-22.1,-0.5,-1,-22.1,-0.5,-14.1,-0.01,-0.22,sl 1.37502,IS
34,GBPUSD,Sell,30.08.2021 11:00:00,1.37669,0.1,30.08.2021 14:48:40,1.37659,3h 48m,0.5,-21.6,-0.5,0.5,-21.6,1,-13.1,0.01,-0.22,sl 1.37659,IS
