Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
2,USDCAD,Sell,06.07.2021 15:15:00,1.23668,0.1,06.07.2021 16:05:40,1.23947,50m 40s,-23.01,-23.01,-0.5,-23.01,-23.01,-27.9,-27.9,-0.23,-0.23,sl 1.23947,IS
4,USDCAD,Sell,13.07.2021 12:45:00,1.24771,0.1,13.07.2021 15:30:40,1.24975,2h 45m,-16.82,-39.83,-0.5,-16.82,-39.83,-20.4,-48.3,-0.17,-0.4,sl 1.24975,IS
6,USDCAD,Sell,15.07.2021 05:00:00,1.25356,0.1,15.07.2021 11:15:40,1.25141,6h 15m,16.68,-23.15,-0.5,16.68,-23.15,21.5,-26.8,0.17,-0.23,tp 1.25141,IS
8,USDCAD,Sell,26.07.2021 10:00:00,1.25884,0.1,26.07.2021 10:20:00,1.25718,20m 0s,12.7,-10.45,-0.5,12.7,-10.45,16.6,-10.2,0.13,-0.1,tp 1.25718,IS
10,USDCAD,Sell,27.07.2021 10:15:00,1.25751,0.1,27.07.2021 10:27:20,1.25945,12m 20s,-15.9,-26.35,-0.5,-15.9,-26.35,-19.4,-29.6,-0.16,-0.26,sl 1.25945,IS
12,USDCAD,Sell,02.08.2021 19:00:00,1.25014,0.1,02.08.2021 23:45:00,1.25066,4h 45m,-4.66,-31.01,-0.5,-4.66,-31.01,-5.2,-34.8,-0.05,-0.31,Strategy 3.51.113,IS
14,USDCAD,Sell,04.08.2021 14:15:00,1.25457,0.1,04.08.2021 16:54:00,1.25261,2h 39m,15.15,-15.86,-0.5,15.15,-15.86,19.6,-15.2,0.15,-0.16,tp 1.25261,IS
16,USDCAD,Sell,06.08.2021 15:45:00,1.25281,0.1,06.08.2021 16:48:40,1.25515,1h 3m,-19.14,-35,-0.5,-19.14,-35,-23.4,-38.6,-0.19,-0.35,sl 1.25515,IS
18,USDCAD,Sell,12.08.2021 15:45:00,1.25226,0.1,12.08.2021 16:57:40,1.25073,1h 12m,11.73,-23.27,-0.5,11.73,-23.27,15.3,-23.3,0.12,-0.23,tp 1.25073,IS
20,USDCAD,Sell,16.08.2021 06:15:00,1.25385,0.1,16.08.2021 10:01:20,1.25539,3h 46m,-12.77,-36.04,-0.5,-12.77,-36.04,-15.4,-38.7,-0.13,-0.36,sl 1.25539,IS
22,USDCAD,Sell,18.08.2021 13:30:00,1.2629,0.1,18.08.2021 14:59:20,1.26132,1h 29m,12.03,-24.01,-0.5,12.03,-24.01,15.8,-22.9,0.12,-0.24,tp 1.26132,IS
24,USDCAD,Sell,26.08.2021 06:15:00,1.26222,0.1,26.08.2021 10:27:40,1.26082,4h 12m,10.6,-13.41,-0.5,10.6,-13.41,14,-8.9,0.11,-0.13,tp 1.26082,IS
26,USDCAD,Sell,31.08.2021 17:00:00,1.26224,0.1,31.08.2021 23:45:00,1.26134,6h 45m,6.64,-6.77,-0.5,6.64,-6.77,9,0.1,0.07,-0.07,Strategy 3.51.113,IS
28,USDCAD,Sell,06.09.2021 12:15:00,1.25488,0.1,06.09.2021 16:20:40,1.25344,4h 5m,10.99,4.22,-0.5,10.99,4.22,14.4,14.5,0.11,0.04,tp 1.25344,IS
30,USDCAD,Sell,07.09.2021 09:45:00,1.2553,0.1,07.09.2021 11:07:40,1.2571,1h 22m,-14.82,-10.6,-0.5,-14.82,-10.6,-18,-3.5,-0.15,-0.1,sl 1.25710,IS
32,USDCAD,Sell,13.09.2021 05:00:00,1.26899,0.1,13.09.2021 06:15:40,1.26707,1h 15m,14.65,4.05,-0.5,14.65,4.05,19.2,15.7,0.15,0.04,tp 1.26707,IS
34,USDCAD,Sell,14.09.2021 08:00:00,1.26527,0.1,14.09.2021 15:30:40,1.26353,7h 30m,13.27,17.32,-0.5,13.27,17.32,17.4,33.1,0.13,0.17,tp 1.26353,IS
36,USDCAD,Sell,16.09.2021 17:00:00,1.26668,0.1,16.09.2021 17:32:40,1.27006,32m 40s,-27.11,-9.79,-0.5,-27.11,-9.79,-33.8,-0.7,-0.27,-0.1,sl 1.27006,IS
38,USDCAD,Sell,17.09.2021 05:00:00,1.26888,0.1,17.09.2021 06:55:40,1.26707,1h 55m,13.78,3.99,-0.5,13.78,3.99,18.1,17.4,0.14,0.04,tp 1.26707,IS
40,USDCAD,Sell,21.09.2021 16:45:00,1.27945,0.1,21.09.2021 17:10:20,1.28369,25m 20s,-33.53,-29.54,-0.5,-33.53,-29.54,-42.4,-25,-0.34,-0.29,sl 1.28369,IS
42,USDCAD,Sell,24.09.2021 15:00:00,1.27083,0.1,24.09.2021 17:02:40,1.26813,2h 2m,20.79,-8.75,-0.5,20.79,-8.75,27,2,0.21,-0.08,tp 1.26813,IS
44,USDCAD,Sell,27.09.2021 15:15:00,1.26637,0.1,27.09.2021 17:19:40,1.2636,2h 4m,21.42,12.67,-0.5,21.42,12.67,27.7,29.7,0.21,0.13,tp 1.26360,IS
46,USDCAD,Sell,28.09.2021 13:15:00,1.26526,0.1,28.09.2021 15:55:20,1.26841,2h 40m,-25.33,-12.66,-0.5,-25.33,-12.66,-31.5,-1.8,-0.25,-0.12,sl 1.26841,IS
48,USDCAD,Sell,29.09.2021 14:45:00,1.26963,0.1,29.09.2021 17:05:40,1.27313,2h 20m,-27.99,-40.65,-0.5,-27.99,-40.65,-35,-36.8,-0.28,-0.4,sl 1.27313,IS
50,USDCAD,Sell,01.10.2021 07:00:00,1.2719,0.1,01.10.2021 12:03:40,1.2695,5h 3m,18.41,-22.24,-0.5,18.41,-22.24,24,-12.8,0.18,-0.22,tp 1.26950,IS
52,USDCAD,Sell,06.10.2021 06:30:00,1.25997,0.1,06.10.2021 10:11:40,1.26231,3h 41m,-19.04,-41.28,-0.5,-19.04,-41.28,-23.4,-36.2,-0.19,-0.41,sl 1.26231,IS
54,USDCAD,Sell,15.10.2021 17:30:00,1.23894,0.1,15.10.2021 17:47:40,1.23622,17m 40s,21.5,-19.78,-0.5,21.5,-19.78,27.2,-9,0.22,-0.19,tp 1.23622,IS
56,USDCAD,Sell,18.10.2021 06:30:00,1.23909,0.1,18.10.2021 16:42:40,1.2372,10h 12m,14.78,-5,-0.5,14.78,-5,18.9,9.9,0.15,-0.05,tp 1.23720,IS
58,USDCAD,Sell,19.10.2021 16:45:00,1.2373,0.1,19.10.2021 17:01:40,1.23509,16m 40s,17.39,12.39,-0.5,17.39,12.39,22.1,32,0.17,0.13,tp 1.23509,IS
60,USDCAD,Sell,21.10.2021 12:30:00,1.23439,0.1,21.10.2021 16:33:40,1.23228,4h 3m,16.62,29.01,-0.5,16.62,29.01,21.1,53.1,0.17,0.29,tp 1.23228,IS
62,USDCAD,Sell,25.10.2021 15:45:00,1.23712,0.1,25.10.2021 19:36:40,1.23966,3h 51m,-20.99,8.02,-0.5,-20.99,8.02,-25.4,27.7,-0.21,0.09,sl 1.23966,IS
64,USDCAD,Sell,27.10.2021 05:00:00,1.2398,0.1,27.10.2021 11:30:40,1.2417,6h 30m,-15.8,-7.78,-0.5,-15.8,-7.78,-19,8.7,-0.16,-0.07,sl 1.24170,IS
66,USDCAD,Sell,28.10.2021 07:30:00,1.23766,0.1,28.10.2021 14:03:40,1.23583,6h 33m,14.31,6.53,-0.5,14.31,6.53,18.3,27,0.14,0.07,tp 1.23583,IS
68,USDCAD,Sell,29.10.2021 10:00:00,1.23634,0.1,29.10.2021 10:12:40,1.23469,12m 40s,12.86,19.39,-0.5,12.86,19.39,16.5,43.5,0.13,0.2,tp 1.23469,IS
70,USDCAD,Sell,01.11.2021 10:45:00,1.2397,0.1,01.11.2021 12:39:40,1.23807,1h 54m,12.67,32.06,-0.5,12.67,32.06,16.3,59.8,0.13,0.33,tp 1.23807,IS
72,USDCAD,Sell,02.11.2021 05:15:00,1.23773,0.1,02.11.2021 09:05:40,1.23956,3h 50m,-15.26,16.8,-0.5,-15.26,16.8,-18.3,41.5,-0.15,0.17,sl 1.23956,IS
74,USDCAD,Sell,04.11.2021 12:45:00,1.24116,0.1,04.11.2021 15:04:40,1.24324,2h 19m,-17.23,-0.43,-0.5,-17.23,-0.43,-20.8,20.7,-0.17,0,sl 1.24324,IS
76,USDCAD,Sell,09.11.2021 05:30:00,1.24539,0.1,09.11.2021 07:40:20,1.2438,2h 10m,12.28,11.85,-0.5,12.28,11.85,15.9,36.6,0.12,0.12,tp 1.24380,IS
78,USDCAD,Sell,16.11.2021 14:45:00,1.25421,0.1,16.11.2021 15:36:40,1.25259,51m 40s,12.43,24.28,-0.5,12.43,24.28,16.2,52.8,0.12,0.25,tp 1.25259,IS
80,USDCAD,Sell,17.11.2021 15:45:00,1.25859,0.1,17.11.2021 20:40:40,1.26146,4h 55m,-23.25,1.03,-0.5,-23.25,1.03,-28.7,24.1,-0.23,0.02,sl 1.26146,IS
82,USDCAD,Sell,19.11.2021 12:15:00,1.26552,0.1,19.11.2021 15:32:40,1.26359,3h 17m,14.77,15.8,-0.5,14.77,15.8,19.3,43.4,0.15,0.16,tp 1.26359,IS
84,USDCAD,Sell,22.11.2021 17:45:00,1.26829,0.1,22.11.2021 23:45:00,1.26999,6h 0m,-13.89,1.91,-0.5,-13.89,1.91,-17,26.4,-0.14,0.03,Strategy 3.51.113,IS
86,USDCAD,Sell,24.11.2021 15:00:00,1.27014,0.1,24.11.2021 16:37:40,1.26824,1h 37m,14.48,16.39,-0.5,14.48,16.39,19,45.4,0.14,0.17,tp 1.26824,IS
88,USDCAD,Sell,26.11.2021 05:00:00,1.27017,0.1,26.11.2021 08:31:40,1.27222,3h 31m,-16.61,-0.22,-0.5,-16.61,-0.22,-20.5,24.9,-0.17,0,sl 1.27222,IS
90,USDCAD,Sell,29.11.2021 18:00:00,1.27919,0.1,29.11.2021 20:34:40,1.2762,2h 34m,22.93,22.71,-0.5,22.93,22.71,29.9,54.8,0.23,0.23,tp 1.27620,IS
92,USDCAD,Sell,30.11.2021 08:15:00,1.27981,0.1,30.11.2021 13:24:40,1.27768,5h 9m,16.17,38.88,-0.5,16.17,38.88,21.3,76.1,0.16,0.4,tp 1.27768,IS
94,USDCAD,Sell,02.12.2021 17:30:00,1.28309,0.1,02.12.2021 23:45:00,1.28064,6h 15m,18.63,57.51,-0.5,18.63,57.51,24.5,100.6,0.19,0.58,Strategy 3.51.113,IS
