position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,price_delta,volume_in,volume_out,profit_sum,swap_sum,commission_sum,net_sum,magic,comment_last,close_ticket,strategy_id,sample_type,source_file,source_path,environment,symbol_folder,account_type,profile_strategy_id,profile_symbol,profile_side,profile_variant_number,profile_timeframe,profile_base_name,profile_display_name,profile_extended_display_name,profile_exit_label,profile_signal_label,profile_time_label,profile_exit_profile,profile_signal_family,profile_risk_model_type,profile_sl_pips,profile_tp_pips,profile_sl_coef,profile_tp_coef,profile_trailing_coef,profile_match_status,entry_bar_time_utc,exit_bar_time_utc,bars_in_trade_m15,first_bar_open,last_bar_close,highest_high_in_trade,lowest_low_in_trade,mfe_price,mae_price,raw_mfe_abs,raw_mae_abs,mfe_abs,mae_abs,mfe_vs_entry_pct,mae_vs_entry_pct,time_to_mfe_min,time_to_mae_min,realized_abs_move,profit_capture_ratio,bars_positive_close_count,bars_negative_close_count,ohlc_history_start_utc,ohlc_history_end_utc,path_consistency_flag,path_consistency_note,path_data_status,path_data_reason,mfe_to_profile_tp_ratio,mae_to_profile_sl_ratio,holding_time_sec,trade_index,cum_net_sum,equity,equity_peak,drawdown_abs,drawdown_pct,recovered_to_new_peak
2,EURUSD,BUY,2021-07-06 12:30:00+00:00,2021-07-06 23:45:00+00:00,1.18445,1.18248,-0.00197,0.1,0.1,-20.2,0.0,-0.5,-20.7,,Strategy 4.34.165,2,EURUSD_64_4.34.165_BUY_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_EURUSD_64_4.34.165_BUY_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_EURUSD_64_4.34.165_BUY_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_64_4.34.165_BUY_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT,4.34.165,EURUSD,BUY,64.0,M15,EURUSD_64_4.34.165_BUY_M15,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19__SIG_UNKNOWN__TIME_0100_2000,ATR_SL63_TP19,UNKNOWN,0100_2000,dynamic_sl_dynamic_tp,[],coef_atr,,,6.3,1.9,,matched,,,,,,,,,,,,,,,,,,,,,,2022-01-27 09:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,40500.0,1,-20.7,99979.3,99979.3,0.0,0.0,True
4,EURUSD,BUY,2021-07-07 17:30:00+00:00,2021-07-07 18:40:40+00:00,1.17899,1.18035,0.00136,0.1,0.1,13.1,0.0,-0.5,12.6,,[tp 1.18035],4,EURUSD_64_4.34.165_BUY_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_EURUSD_64_4.34.165_BUY_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_EURUSD_64_4.34.165_BUY_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_64_4.34.165_BUY_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT,4.34.165,EURUSD,BUY,64.0,M15,EURUSD_64_4.34.165_BUY_M15,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19__SIG_UNKNOWN__TIME_0100_2000,ATR_SL63_TP19,UNKNOWN,0100_2000,dynamic_sl_dynamic_tp,[],coef_atr,,,6.3,1.9,,matched,,,,,,,,,,,,,,,,,,,,,,2022-01-27 09:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,4240.0,2,-8.1,99991.9,99991.9,0.0,0.0,True
6,EURUSD,BUY,2021-07-08 05:00:00+00:00,2021-07-08 08:40:20+00:00,1.17904,1.18,0.0009599999999998,0.1,0.1,9.1,0.0,-0.5,8.6,,[tp 1.18000],6,EURUSD_64_4.34.165_BUY_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_EURUSD_64_4.34.165_BUY_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_EURUSD_64_4.34.165_BUY_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_64_4.34.165_BUY_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT,4.34.165,EURUSD,BUY,64.0,M15,EURUSD_64_4.34.165_BUY_M15,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19__SIG_UNKNOWN__TIME_0100_2000,ATR_SL63_TP19,UNKNOWN,0100_2000,dynamic_sl_dynamic_tp,[],coef_atr,,,6.3,1.9,,matched,,,,,,,,,,,,,,,,,,,,,,2022-01-27 09:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,13220.0,3,0.5,100000.5,100000.5,0.0,0.0,True
8,EURUSD,BUY,2021-07-09 09:30:00+00:00,2021-07-09 10:51:40+00:00,1.18343,1.18424,0.0008099999999999,0.1,0.1,7.6,0.0,-0.5,7.1,,[tp 1.18424],8,EURUSD_64_4.34.165_BUY_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_EURUSD_64_4.34.165_BUY_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_EURUSD_64_4.34.165_BUY_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_64_4.34.165_BUY_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT,4.34.165,EURUSD,BUY,64.0,M15,EURUSD_64_4.34.165_BUY_M15,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19__SIG_UNKNOWN__TIME_0100_2000,ATR_SL63_TP19,UNKNOWN,0100_2000,dynamic_sl_dynamic_tp,[],coef_atr,,,6.3,1.9,,matched,,,,,,,,,,,,,,,,,,,,,,2022-01-27 09:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,4900.0,4,7.6,100007.6,100007.6,0.0,0.0,True
10,EURUSD,BUY,2021-07-12 09:45:00+00:00,2021-07-12 10:14:40+00:00,1.18644,1.18715,0.0007099999999999,0.1,0.1,6.6,0.0,-0.5,6.1,,[tp 1.18715],10,EURUSD_64_4.34.165_BUY_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_EURUSD_64_4.34.165_BUY_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_EURUSD_64_4.34.165_BUY_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_64_4.34.165_BUY_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT,4.34.165,EURUSD,BUY,64.0,M15,EURUSD_64_4.34.165_BUY_M15,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19__SIG_UNKNOWN__TIME_0100_2000,ATR_SL63_TP19,UNKNOWN,0100_2000,dynamic_sl_dynamic_tp,[],coef_atr,,,6.3,1.9,,matched,,,,,,,,,,,,,,,,,,,,,,2022-01-27 09:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,1780.0,5,13.7,100013.7,100013.7,0.0,0.0,True
12,EURUSD,BUY,2021-07-13 11:15:00+00:00,2021-07-13 15:30:40+00:00,1.18501,1.18156,-0.0034499999999999,0.1,0.1,-35.0,0.0,-0.5,-35.5,,[sl 1.18156],12,EURUSD_64_4.34.165_BUY_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_EURUSD_64_4.34.165_BUY_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_EURUSD_64_4.34.165_BUY_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_64_4.34.165_BUY_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT,4.34.165,EURUSD,BUY,64.0,M15,EURUSD_64_4.34.165_BUY_M15,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19__SIG_UNKNOWN__TIME_0100_2000,ATR_SL63_TP19,UNKNOWN,0100_2000,dynamic_sl_dynamic_tp,[],coef_atr,,,6.3,1.9,,matched,,,,,,,,,,,,,,,,,,,,,,2022-01-27 09:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,15340.0,6,-21.8,99978.2,100013.7,-35.5,-0.0003549513716620823,False
14,EURUSD,BUY,2021-07-14 01:00:00+00:00,2021-07-14 09:28:40+00:00,1.17818,1.17935,0.0011699999999998,0.1,0.1,11.2,0.0,-0.5,10.7,,[tp 1.17935],14,EURUSD_64_4.34.165_BUY_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_EURUSD_64_4.34.165_BUY_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_EURUSD_64_4.34.165_BUY_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_64_4.34.165_BUY_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT,4.34.165,EURUSD,BUY,64.0,M15,EURUSD_64_4.34.165_BUY_M15,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19__SIG_UNKNOWN__TIME_0100_2000,ATR_SL63_TP19,UNKNOWN,0100_2000,dynamic_sl_dynamic_tp,[],coef_atr,,,6.3,1.9,,matched,,,,,,,,,,,,,,,,,,,,,,2022-01-27 09:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,30520.0,7,-11.100000000000001,99988.9,100013.7,-24.80000000000291,-0.0002479660286541035,False
16,EURUSD,BUY,2021-07-15 06:00:00+00:00,2021-07-15 08:26:40+00:00,1.18286,1.18361,0.00075,0.1,0.1,7.0,0.0,-0.5,6.5,,[tp 1.18361],16,EURUSD_64_4.34.165_BUY_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_EURUSD_64_4.34.165_BUY_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_EURUSD_64_4.34.165_BUY_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_64_4.34.165_BUY_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT,4.34.165,EURUSD,BUY,64.0,M15,EURUSD_64_4.34.165_BUY_M15,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19__SIG_UNKNOWN__TIME_0100_2000,ATR_SL63_TP19,UNKNOWN,0100_2000,dynamic_sl_dynamic_tp,[],coef_atr,,,6.3,1.9,,matched,,,,,,,,,,,,,,,,,,,,,,2022-01-27 09:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,8800.0,8,-4.600000000000001,99995.4,100013.7,-18.30000000000291,-0.0001829749324342856,False
18,EURUSD,BUY,2021-07-16 15:00:00+00:00,2021-07-16 16:16:40+00:00,1.17993,1.18089,0.00096,0.1,0.1,9.1,0.0,-0.5,8.6,,[tp 1.18089],18,EURUSD_64_4.34.165_BUY_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_EURUSD_64_4.34.165_BUY_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_EURUSD_64_4.34.165_BUY_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_64_4.34.165_BUY_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT,4.34.165,EURUSD,BUY,64.0,M15,EURUSD_64_4.34.165_BUY_M15,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19__SIG_UNKNOWN__TIME_0100_2000,ATR_SL63_TP19,UNKNOWN,0100_2000,dynamic_sl_dynamic_tp,[],coef_atr,,,6.3,1.9,,matched,,,,,,,,,,,,,,,,,,,,,,2022-01-27 09:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,4600.0,9,3.9999999999999982,100004.0,100013.7,-9.69999999999709,-9.698671282031452e-05,False
20,EURUSD,BUY,2021-07-19 11:15:00+00:00,2021-07-19 16:11:40+00:00,1.17833,1.17914,0.0008099999999999,0.1,0.1,7.6,0.0,-0.5,7.1,,[tp 1.17914],20,EURUSD_64_4.34.165_BUY_M15,IS,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Featured\Backtest\IS_OOS_Enriched\DEMO_ACCOUNT\IS\listOfTrades_EURUSD_64_4.34.165_BUY_M15_IS_2021-07-06_to_2024-07-01\listOfTrades_EURUSD_64_4.34.165_BUY_M15_IS_2021-07-06_to_2024-07-01__enriched_m15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURUSD\listOfTrades_EURUSD_64_4.34.165_BUY_M15.csv,DEMO_ACCOUNT,EURUSD,DEMO_ACCOUNT,4.34.165,EURUSD,BUY,64.0,M15,EURUSD_64_4.34.165_BUY_M15,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19,EURUSD_64_4.34.165_BUY_M15__ATR_SL63_TP19__SIG_UNKNOWN__TIME_0100_2000,ATR_SL63_TP19,UNKNOWN,0100_2000,dynamic_sl_dynamic_tp,[],coef_atr,,,6.3,1.9,,matched,,,,,,,,,,,,,,,,,,,,,,2022-01-27 09:15:00+00:00,2026-04-02 19:00:00+00:00,,,unavailable,before_ohlc_history_start,,,17800.0,10,11.099999999999998,100011.1,100013.7,-2.599999999991269,-2.5996438487839855e-05,False
