position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,price_delta,volume_in,volume_out,profit_sum,swap_sum,commission_sum,net_sum,magic,comment_last,close_ticket,strategy_id,sample_type,source_file,source_path,environment,symbol_folder,account_type
2,GBPUSD,SELL,2021-07-06 14:15:00+00:00,2021-07-06 17:17:40+00:00,1.38519,1.38276,-0.002429999999999932,0.1,0.1,23.8,0.0,-0.5,23.3,,[tp 1.38276],2,1.38276,IS,listOfTrades_GBPUSD_22_6.11.100_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_22_6.11.100_SELL_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT
4,GBPUSD,SELL,2021-07-12 17:15:00+00:00,2021-07-12 22:42:40+00:00,1.38851,1.38861,9.999999999998899e-05,0.1,0.1,-1.5,0.0,-0.5,-2.0,,[sl 1.38861],4,1.38276,IS,listOfTrades_GBPUSD_22_6.11.100_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_22_6.11.100_SELL_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT
6,GBPUSD,SELL,2021-07-13 09:45:00+00:00,2021-07-13 10:06:40+00:00,1.38876,1.3871,-0.0016599999999999948,0.1,0.1,16.1,0.0,-0.5,15.600000000000001,,[tp 1.38710],6,1.38276,IS,listOfTrades_GBPUSD_22_6.11.100_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_22_6.11.100_SELL_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT
8,GBPUSD,SELL,2021-07-15 10:45:00+00:00,2021-07-15 11:15:40+00:00,1.38233,1.38364,0.0013099999999999223,0.1,0.1,-13.6,0.0,-0.5,-14.1,,[sl 1.38364],8,1.38276,IS,listOfTrades_GBPUSD_22_6.11.100_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_22_6.11.100_SELL_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT
10,GBPUSD,SELL,2021-07-23 15:30:00+00:00,2021-07-23 18:04:40+00:00,1.37635,1.37653,0.000180000000000069,0.1,0.1,-2.3,0.0,-0.5,-2.8,,[sl 1.37653],10,1.38276,IS,listOfTrades_GBPUSD_22_6.11.100_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_22_6.11.100_SELL_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT
12,GBPUSD,SELL,2021-07-26 08:15:00+00:00,2021-07-26 09:59:40+00:00,1.37541,1.37557,0.00015999999999993797,0.1,0.1,-2.1,0.0,-0.5,-2.6,,[sl 1.37557],12,1.38276,IS,listOfTrades_GBPUSD_22_6.11.100_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_22_6.11.100_SELL_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT
14,GBPUSD,SELL,2021-07-27 16:00:00+00:00,2021-07-27 17:04:40+00:00,1.38236,1.38265,0.00028999999999990145,0.1,0.1,-3.4,0.0,-0.5,-3.9,,[sl 1.38265],14,1.38276,IS,listOfTrades_GBPUSD_22_6.11.100_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_22_6.11.100_SELL_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT
16,GBPUSD,SELL,2021-07-28 09:00:00+00:00,2021-07-28 11:52:40+00:00,1.38745,1.38818,0.0007299999999998974,0.1,0.1,-7.8,0.0,-0.5,-8.3,,[sl 1.38818],16,1.38276,IS,listOfTrades_GBPUSD_22_6.11.100_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_22_6.11.100_SELL_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT
18,GBPUSD,SELL,2021-07-30 09:15:00+00:00,2021-07-30 17:28:20+00:00,1.39427,1.39279,-0.0014799999999999258,0.1,0.1,14.3,0.0,-0.5,13.8,,[tp 1.39279],18,1.38276,IS,listOfTrades_GBPUSD_22_6.11.100_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_22_6.11.100_SELL_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT
20,GBPUSD,SELL,2021-08-03 17:15:00+00:00,2021-08-03 23:45:00+00:00,1.38964,1.3913,0.0016599999999999948,0.1,0.1,-17.1,0.0,-0.5,-17.6,,Strategy 6.11.100,20,1.38276,IS,listOfTrades_GBPUSD_22_6.11.100_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\GBPUSD\listOfTrades_GBPUSD_22_6.11.100_SELL_M15.csv,DEMO_ACCOUNT,GBPUSD,DEMO_ACCOUNT
