Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
2,USDCHF,Buy,06.07.2021 04:15:00,0.92226,0.1,06.07.2021 12:35:40,0.92452,8h 20m,23.95,23.95,-0.5,23.95,23.95,22.6,22.6,0.24,0.24,tp 0.92452,IS
4,USDCHF,Buy,07.07.2021 02:45:00,0.92517,0.1,07.07.2021 23:45:00,0.92565,21h 0m,4.69,28.64,-0.5,4.69,28.64,4.8,27.4,0.05,0.29,Strategy_6_47_153,IS
6,USDCHF,Buy,08.07.2021 03:30:00,0.92566,0.1,08.07.2021 10:59:40,0.92016,7h 29m,-60.27,-31.63,-0.5,-60.27,-31.63,-55,-27.6,-0.6,-0.31,sl 0.92016,IS
8,USDCHF,Buy,13.07.2021 11:30:00,0.91613,0.1,13.07.2021 15:30:40,0.91825,4h 0m,22.59,-9.04,-0.5,22.59,-9.04,21.2,-6.4,0.23,-0.09,tp 0.91825,IS
10,USDCHF,Buy,14.07.2021 04:10:00,0.91861,0.1,14.07.2021 23:45:00,0.91427,19h 35m,-47.97,-57.01,-0.5,-47.97,-57.01,-43.4,-49.8,-0.48,-0.57,Strategy_6_47_153,IS
12,USDCHF,Buy,19.07.2021 04:45:00,0.91993,0.1,19.07.2021 12:14:40,0.92213,7h 29m,23.36,-33.65,-0.5,23.36,-33.65,22,-27.8,0.23,-0.33,tp 0.92213,IS
14,USDCHF,Buy,21.07.2021 04:45:00,0.92145,0.1,21.07.2021 23:45:00,0.91749,19h 0m,-43.66,-77.31,-0.5,-43.66,-77.31,-39.6,-67.4,-0.44,-0.77,Strategy_6_47_153,IS
16,USDCHF,Buy,23.07.2021 08:00:00,0.92047,0.1,23.07.2021 14:31:40,0.92201,6h 31m,16.2,-61.11,-0.5,16.2,-61.11,15.4,-52,0.16,-0.61,tp 0.92201,IS
18,USDCHF,Buy,06.08.2021 02:00:00,0.90722,0.1,06.08.2021 15:30:40,0.90915,13h 30m,20.73,-40.38,-0.5,20.73,-40.38,19.3,-32.7,0.21,-0.4,tp 0.90915,IS
20,USDCHF,Buy,09.08.2021 17:15:00,0.91884,0.1,09.08.2021 23:45:00,0.92058,6h 30m,18.4,-21.98,-0.5,18.4,-21.98,17.4,-15.3,0.18,-0.21,Strategy_6_47_153,IS
22,USDCHF,Buy,10.08.2021 16:00:00,0.92364,0.1,10.08.2021 23:45:00,0.92301,7h 45m,-7.33,-29.31,-0.5,-7.33,-29.31,-6.3,-21.6,-0.07,-0.29,Strategy_6_47_153,IS
24,USDCHF,Buy,11.08.2021 04:00:00,0.92369,0.1,11.08.2021 23:45:00,0.92174,19h 45m,-21.66,-50.97,-0.5,-21.66,-50.97,-19.5,-41.1,-0.22,-0.51,Strategy_6_47_153,IS
26,USDCHF,Buy,18.08.2021 16:00:00,0.91612,0.1,18.08.2021 18:26:40,0.91961,2h 26m,37.45,-13.52,-0.5,37.45,-13.52,34.9,-6.2,0.38,-0.13,tp 0.91961,IS
28,USDCHF,Buy,20.08.2021 02:30:00,0.91939,0.1,20.08.2021 23:45:00,0.91702,21h 15m,-26.34,-39.86,-0.5,-26.34,-39.86,-23.7,-29.9,-0.26,-0.39,Strategy_6_47_153,IS
