Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
2,AUDJPY,Buy,02.07.2021 08:45:00,83.341,0.1,02.07.2021 10:58:40,83.141,2h 13m,-18.42,-18.42,-0.5,-18.42,-18.42,-20,-20,-0.18,-0.18,sl 83.141,IS
4,AUDJPY,Buy,05.07.2021 05:15:00,83.525,0.1,05.07.2021 23:45:00,83.551,18h 30m,1.84,-16.58,-0.5,1.84,-16.58,2.6,-17.4,0.02,-0.17,Strategy 3.14.146,IS
6,AUDJPY,Buy,06.07.2021 07:45:00,83.676,0.1,06.07.2021 09:12:40,84.176,1h 27m,44.64,28.06,-0.5,44.64,28.06,50,32.6,0.45,0.28,tp 84.176,IS
8,AUDJPY,Buy,07.07.2021 17:15:00,82.946,0.1,07.07.2021 17:31:40,82.746,16m 40s,-18.56,9.5,-0.5,-18.56,9.5,-20,12.6,-0.19,0.1,sl 82.746,IS
10,AUDJPY,Buy,12.07.2021 05:15:00,82.347,0.1,12.07.2021 10:45:40,82.147,5h 30m,-18.66,-9.16,-0.5,-18.66,-9.16,-20,-7.4,-0.19,-0.09,sl 82.147,IS
12,AUDJPY,Buy,13.07.2021 05:30:00,82.661,0.1,13.07.2021 12:55:40,82.461,7h 25m,-18.64,-27.8,-0.5,-18.64,-27.8,-20,-27.4,-0.19,-0.28,sl 82.461,IS
14,AUDJPY,Buy,14.07.2021 09:00:00,82.551,0.1,14.07.2021 10:16:40,82.351,1h 16m,-18.6,-46.4,-0.5,-18.6,-46.4,-20,-47.4,-0.19,-0.46,sl 82.351,IS
16,AUDJPY,Buy,16.07.2021 17:15:00,81.581,0.1,16.07.2021 22:31:40,81.381,5h 16m,-18.67,-65.07,-0.5,-18.67,-65.07,-20,-67.4,-0.19,-0.65,sl 81.381,IS
18,AUDJPY,Buy,21.07.2021 05:15:00,80.346,0.1,21.07.2021 09:09:40,80.146,3h 54m,-18.7,-83.77,-0.5,-18.7,-83.77,-20,-87.4,-0.19,-0.84,sl 80.146,IS
20,AUDJPY,Buy,22.07.2021 05:15:00,80.951,0.1,22.07.2021 12:46:40,81.451,7h 31m,44.85,-38.92,-0.5,44.85,-38.92,50,-37.4,0.45,-0.39,tp 81.451,IS
22,AUDJPY,Buy,23.07.2021 05:15:00,81.355,0.1,23.07.2021 23:45:00,81.405,18h 30m,4.02,-34.9,-0.5,4.02,-34.9,5,-32.4,0.04,-0.35,Strategy 3.14.146,IS
24,AUDJPY,Buy,29.07.2021 09:30:00,81.19,0.1,29.07.2021 16:42:40,80.99,7h 12m,-18.71,-53.61,-0.5,-18.71,-53.61,-20,-52.4,-0.19,-0.53,sl 80.990,IS
26,AUDJPY,Buy,02.08.2021 17:45:00,80.562,0.1,02.08.2021 19:08:00,80.362,1h 23m,-18.81,-72.42,-0.5,-18.81,-72.42,-20,-72.4,-0.19,-0.72,sl 80.362,IS
28,AUDJPY,Buy,03.08.2021 15:30:00,80.549,0.1,03.08.2021 16:38:40,80.349,1h 8m,-18.85,-91.27,-0.5,-18.85,-91.27,-20,-92.4,-0.19,-0.91,sl 80.349,IS
30,AUDJPY,Buy,04.08.2021 05:30:00,80.695,0.1,04.08.2021 23:45:00,80.812,18h 15m,10.19,-81.08,-0.5,10.19,-81.08,11.7,-80.7,0.1,-0.81,Strategy 3.14.146,IS
32,AUDJPY,Buy,05.08.2021 05:15:00,80.994,0.1,05.08.2021 23:45:00,81.244,18h 30m,22.27,-58.81,-0.5,22.27,-58.81,25,-55.7,0.22,-0.59,Strategy 3.14.146,IS
34,AUDJPY,Buy,06.08.2021 05:15:00,81.158,0.1,06.08.2021 23:45:00,81.069,18h 30m,-8.57,-67.38,-0.5,-8.57,-67.38,-8.9,-64.6,-0.09,-0.67,Strategy 3.14.146,IS
36,AUDJPY,Buy,11.08.2021 05:15:00,81.247,0.1,11.08.2021 23:45:00,81.426,18h 30m,15.71,-51.67,-0.5,15.71,-51.67,17.9,-46.7,0.16,-0.51,Strategy 3.14.146,IS
38,AUDJPY,Buy,12.08.2021 05:15:00,81.298,0.1,12.08.2021 16:37:40,81.098,11h 22m,-18.59,-70.26,-0.5,-18.59,-70.26,-20,-66.7,-0.19,-0.7,sl 81.098,IS
40,AUDJPY,Buy,18.08.2021 12:15:00,79.676,0.1,18.08.2021 13:05:40,79.476,50m 40s,-18.74,-89,-0.5,-18.74,-89,-20,-86.7,-0.19,-0.89,sl 79.476,IS
