Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
2,AUDJPY,Buy,05.07.2021 05:15:00,83.525,0.1,05.07.2021 23:45:00,83.551,18h 30m,1.84,1.84,-0.5,1.84,1.84,2.6,2.6,0.02,0.02,Strategy 3.7.108,IS
4,AUDJPY,Buy,12.07.2021 04:15:00,82.378,0.1,12.07.2021 23:45:00,82.547,19h 30m,14.82,16.66,-0.5,14.82,16.66,16.9,19.5,0.15,0.17,Strategy 3.7.108,IS
6,AUDJPY,Buy,14.07.2021 17:30:00,82.249,0.1,14.07.2021 23:45:00,82.264,6h 15m,0.86,17.52,-0.5,0.86,17.52,1.5,21,0.01,0.18,Strategy 3.7.108,IS
8,AUDJPY,Buy,16.07.2021 15:15:00,81.742,0.1,16.07.2021 23:45:00,81.397,8h 30m,-31.84,-14.32,-0.5,-31.84,-14.32,-34.5,-13.5,-0.32,-0.14,Strategy 3.7.108,IS
10,AUDJPY,Buy,21.07.2021 05:15:00,80.346,0.1,21.07.2021 17:40:40,80.996,12h 25m,58.43,44.11,-0.5,58.43,44.11,65,51.5,0.59,0.44,tp 80.996,IS
12,AUDJPY,Buy,22.07.2021 03:45:00,80.944,0.1,22.07.2021 23:45:00,81.336,20h 0m,35.08,79.19,-0.5,35.08,79.19,39.2,90.7,0.35,0.79,Strategy 3.7.108,IS
14,AUDJPY,Buy,23.07.2021 01:00:00,81.287,0.1,23.07.2021 23:45:00,81.405,22h 45m,10.17,89.36,-0.5,10.17,89.36,11.8,102.5,0.1,0.89,Strategy 3.7.108,IS
16,AUDJPY,Buy,26.07.2021 02:45:00,81.424,0.1,26.07.2021 23:45:00,81.474,21h 0m,4.03,93.39,-0.5,4.03,93.39,5,107.5,0.04,0.93,Strategy 3.7.108,IS
18,AUDJPY,Buy,27.07.2021 04:15:00,81.37,0.1,27.07.2021 19:07:20,80.67,14h 52m,-64.36,29.03,-0.5,-64.36,29.03,-70,37.5,-0.64,0.29,sl 80.670,IS
20,AUDJPY,Buy,29.07.2021 04:15:00,80.808,0.1,29.07.2021 23:45:00,80.923,19h 30m,10.01,39.04,-0.5,10.01,39.04,11.5,49,0.1,0.39,Strategy 3.7.108,IS
22,AUDJPY,Buy,02.08.2021 18:15:00,80.679,0.1,02.08.2021 23:45:00,80.508,5h 30m,-16.14,22.9,-0.5,-16.14,22.9,-17.1,31.9,-0.16,0.23,Strategy 3.7.108,IS
24,AUDJPY,Buy,03.08.2021 15:45:00,80.519,0.1,03.08.2021 23:45:00,80.628,8h 0m,9.49,32.39,-0.5,9.49,32.39,10.9,42.8,0.09,0.33,Strategy 3.7.108,IS
26,AUDJPY,Buy,04.08.2021 03:30:00,80.568,0.1,04.08.2021 23:45:00,80.812,20h 15m,21.79,54.18,-0.5,21.79,54.18,24.4,67.2,0.22,0.55,Strategy 3.7.108,IS
