position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,price_delta,volume_in,volume_out,profit_sum,swap_sum,commission_sum,net_sum,magic,comment_last,close_ticket,strategy_id,sample_type,source_file,source_path,environment,symbol_folder,account_type
2,NZDUSD,BUY,2021-07-12 09:45:00+00:00,2021-07-12 13:13:40+00:00,0.69759,0.69556,-0.0020300000000000873,0.1,0.1,-20.8,0.0,-0.5,-21.3,,[sl 0.69556],2,0.69556,IS,listOfTrades_NZDUSD_76_5.71.164_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\NZDUSD\listOfTrades_NZDUSD_76_5.71.164_BUY_M15.csv,DEMO_ACCOUNT,NZDUSD,DEMO_ACCOUNT
4,NZDUSD,BUY,2021-07-13 11:15:00+00:00,2021-07-13 15:30:40+00:00,0.69778,0.69554,-0.0022399999999999087,0.1,0.1,-22.9,0.0,-0.5,-23.4,,[sl 0.69554],4,0.69556,IS,listOfTrades_NZDUSD_76_5.71.164_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\NZDUSD\listOfTrades_NZDUSD_76_5.71.164_BUY_M15.csv,DEMO_ACCOUNT,NZDUSD,DEMO_ACCOUNT
6,NZDUSD,BUY,2021-07-19 10:30:00+00:00,2021-07-19 11:50:40+00:00,0.69869,0.69648,-0.0022100000000000453,0.1,0.1,-22.6,0.0,-0.5,-23.1,,[sl 0.69648],6,0.69556,IS,listOfTrades_NZDUSD_76_5.71.164_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\NZDUSD\listOfTrades_NZDUSD_76_5.71.164_BUY_M15.csv,DEMO_ACCOUNT,NZDUSD,DEMO_ACCOUNT
8,NZDUSD,BUY,2021-07-21 09:00:00+00:00,2021-07-21 11:43:40+00:00,0.69013,0.69172,0.0015899999999999803,0.1,0.1,15.4,0.0,-0.5,14.9,,[tp 0.69172],8,0.69556,IS,listOfTrades_NZDUSD_76_5.71.164_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\NZDUSD\listOfTrades_NZDUSD_76_5.71.164_BUY_M15.csv,DEMO_ACCOUNT,NZDUSD,DEMO_ACCOUNT
10,NZDUSD,BUY,2021-07-22 06:00:00+00:00,2021-07-22 14:58:40+00:00,0.69579,0.69728,0.0014899999999999913,0.1,0.1,14.4,0.0,-0.5,13.9,,[tp 0.69728],10,0.69556,IS,listOfTrades_NZDUSD_76_5.71.164_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\NZDUSD\listOfTrades_NZDUSD_76_5.71.164_BUY_M15.csv,DEMO_ACCOUNT,NZDUSD,DEMO_ACCOUNT
12,NZDUSD,BUY,2021-07-23 07:15:00+00:00,2021-07-23 10:45:40+00:00,0.69816,0.69616,-0.0020000000000000018,0.1,0.1,-20.5,0.0,-0.5,-21.0,,[sl 0.69616],12,0.69556,IS,listOfTrades_NZDUSD_76_5.71.164_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\NZDUSD\listOfTrades_NZDUSD_76_5.71.164_BUY_M15.csv,DEMO_ACCOUNT,NZDUSD,DEMO_ACCOUNT
14,NZDUSD,BUY,2021-07-26 09:45:00+00:00,2021-07-26 16:31:40+00:00,0.69674,0.69831,0.0015699999999999603,0.1,0.1,15.2,0.0,-0.5,14.7,,[tp 0.69831],14,0.69556,IS,listOfTrades_NZDUSD_76_5.71.164_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\NZDUSD\listOfTrades_NZDUSD_76_5.71.164_BUY_M15.csv,DEMO_ACCOUNT,NZDUSD,DEMO_ACCOUNT
16,NZDUSD,BUY,2021-07-27 16:45:00+00:00,2021-07-27 23:45:00+00:00,0.6955,0.69572,0.00021999999999999797,0.1,0.1,1.7,0.0,-0.5,1.2,,Strategy 5.71.164,16,0.69556,IS,listOfTrades_NZDUSD_76_5.71.164_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\NZDUSD\listOfTrades_NZDUSD_76_5.71.164_BUY_M15.csv,DEMO_ACCOUNT,NZDUSD,DEMO_ACCOUNT
18,NZDUSD,BUY,2021-07-28 10:15:00+00:00,2021-07-28 11:15:40+00:00,0.69606,0.69376,-0.0022999999999999687,0.1,0.1,-23.5,0.0,-0.5,-24.0,,[sl 0.69376],18,0.69556,IS,listOfTrades_NZDUSD_76_5.71.164_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\NZDUSD\listOfTrades_NZDUSD_76_5.71.164_BUY_M15.csv,DEMO_ACCOUNT,NZDUSD,DEMO_ACCOUNT
20,NZDUSD,BUY,2021-07-30 08:30:00+00:00,2021-07-30 11:09:40+00:00,0.69967,0.70125,0.0015800000000000258,0.1,0.1,15.3,0.0,-0.5,14.8,,[tp 0.70125],20,0.69556,IS,listOfTrades_NZDUSD_76_5.71.164_BUY_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\NZDUSD\listOfTrades_NZDUSD_76_5.71.164_BUY_M15.csv,DEMO_ACCOUNT,NZDUSD,DEMO_ACCOUNT
