position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,price_delta,volume_in,volume_out,profit_sum,swap_sum,commission_sum,net_sum,magic,comment_last,close_ticket,strategy_id,sample_type,source_file,source_path,environment,symbol_folder,account_type
2,USDCHF,SELL,2021-07-09 05:30:00+00:00,2021-07-09 09:22:00+00:00,0.91565,0.91678,0.0011300000000000754,0.1,0.1,-12.83,0.0,-0.5,-13.33,,[sl 0.91678],2,0.91678,IS,listOfTrades_USDCHF_35_3.1.133_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_35_3.1.133_SELL_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
4,USDCHF,SELL,2021-07-12 06:30:00+00:00,2021-07-12 09:18:20+00:00,0.91456,0.91554,0.0009799999999999809,0.1,0.1,-11.2,0.0,-0.5,-11.7,,[sl 0.91554],4,0.91678,IS,listOfTrades_USDCHF_35_3.1.133_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_35_3.1.133_SELL_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
6,USDCHF,SELL,2021-07-13 10:00:00+00:00,2021-07-13 10:50:40+00:00,0.91545,0.91625,0.0008000000000000229,0.1,0.1,-9.23,0.0,-0.5,-9.73,,[sl 0.91625],6,0.91678,IS,listOfTrades_USDCHF_35_3.1.133_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_35_3.1.133_SELL_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
8,USDCHF,SELL,2021-07-27 07:15:00+00:00,2021-07-27 09:45:40+00:00,0.91608,0.91697,0.0008899999999999464,0.1,0.1,-10.21,0.0,-0.5,-10.71,,[sl 0.91697],8,0.91678,IS,listOfTrades_USDCHF_35_3.1.133_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_35_3.1.133_SELL_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
10,USDCHF,SELL,2021-07-28 09:30:00+00:00,2021-07-28 09:42:40+00:00,0.91532,0.91618,0.0008599999999999719,0.1,0.1,-9.89,0.0,-0.5,-10.39,,[sl 0.91618],10,0.91678,IS,listOfTrades_USDCHF_35_3.1.133_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_35_3.1.133_SELL_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
12,USDCHF,SELL,2021-07-30 06:15:00+00:00,2021-07-30 08:01:40+00:00,0.90678,0.90759,0.0008099999999999774,0.1,0.1,-9.42,0.0,-0.5,-9.92,,[sl 0.90759],12,0.91678,IS,listOfTrades_USDCHF_35_3.1.133_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_35_3.1.133_SELL_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
14,USDCHF,SELL,2021-08-04 10:45:00+00:00,2021-08-04 11:16:40+00:00,0.90449,0.90541,0.0009200000000000319,0.1,0.1,-10.66,0.0,-0.5,-11.16,,[sl 0.90541],14,0.91678,IS,listOfTrades_USDCHF_35_3.1.133_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_35_3.1.133_SELL_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
16,USDCHF,SELL,2021-08-06 05:30:00+00:00,2021-08-06 06:06:40+00:00,0.90771,0.90846,0.0007500000000000284,0.1,0.1,-8.76,0.0,-0.5,-9.26,,[sl 0.90846],16,0.91678,IS,listOfTrades_USDCHF_35_3.1.133_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_35_3.1.133_SELL_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
18,USDCHF,SELL,2021-08-16 06:15:00+00:00,2021-08-16 06:30:40+00:00,0.91578,0.91669,0.0009099999999999664,0.1,0.1,-10.43,0.0,-0.5,-10.93,,[sl 0.91669],18,0.91678,IS,listOfTrades_USDCHF_35_3.1.133_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_35_3.1.133_SELL_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
20,USDCHF,SELL,2021-08-17 06:30:00+00:00,2021-08-17 09:46:40+00:00,0.91337,0.91262,-0.0007500000000000284,0.1,0.1,7.72,0.0,-0.5,7.22,,[tp 0.91262],20,0.91678,IS,listOfTrades_USDCHF_35_3.1.133_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_35_3.1.133_SELL_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
22,USDCHF,SELL,2021-08-24 05:15:00+00:00,2021-08-24 09:57:40+00:00,0.91328,0.91413,0.0008500000000000174,0.1,0.1,-9.8,0.0,-0.5,-10.3,,[sl 0.91413],22,0.91678,IS,listOfTrades_USDCHF_35_3.1.133_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_35_3.1.133_SELL_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
24,USDCHF,SELL,2021-08-25 06:15:00+00:00,2021-08-25 08:45:40+00:00,0.91506,0.91411,-0.0009500000000000064,0.1,0.1,9.89,0.0,-0.5,9.39,,[tp 0.91411],24,0.91678,IS,listOfTrades_USDCHF_35_3.1.133_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_35_3.1.133_SELL_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
26,USDCHF,SELL,2021-09-03 13:30:00+00:00,2021-09-03 15:30:40+00:00,0.91472,0.91366,-0.0010599999999999499,0.1,0.1,11.1,0.0,-0.5,10.6,,[tp 0.91366],26,0.91678,IS,listOfTrades_USDCHF_35_3.1.133_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_35_3.1.133_SELL_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
28,USDCHF,SELL,2021-09-06 05:30:00+00:00,2021-09-06 10:00:00+00:00,0.9146,0.91578,0.0011800000000000699,0.1,0.1,-13.39,0.0,-0.5,-13.89,,[sl 0.91578],28,0.91678,IS,listOfTrades_USDCHF_35_3.1.133_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_35_3.1.133_SELL_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
30,USDCHF,SELL,2021-09-07 09:30:00+00:00,2021-09-07 09:50:40+00:00,0.91535,0.91462,-0.0007300000000000084,0.1,0.1,7.48,0.0,-0.5,6.98,,[tp 0.91462],30,0.91678,IS,listOfTrades_USDCHF_35_3.1.133_SELL_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_35_3.1.133_SELL_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT
